Gene,Non-unique Gene name,Annotation,No. isolates
Cluster_22255,,,751
Cluster_4192,,,751
Cluster_22526,,,751
Cluster_13952,,,751
Cluster_16107,,,751
Cluster_14316,,,751
Cluster_5476,,,751
Cluster_4058,,,751
Cluster_22382,,,751
Cluster_14315,,,751
Cluster_21775,,,751
Cluster_3585,,,751
Cluster_13715,,,751
Cluster_13151,,,751
Cluster_17448,,,751
Cluster_16620,,,751
Cluster_10444,,,751
Cluster_13277,,,751
Cluster_21506,,,751
Cluster_4892,,,751
Cluster_12392,,,751
Cluster_15286,,,751
Cluster_13711,,,751
Cluster_14784,,,751
Cluster_13942,,,751
Cluster_20949,,,751
Cluster_9229,,,751
Cluster_10557,,,751
Cluster_7265,,,751
Cluster_10926,,,751
Cluster_16403,,,751
Cluster_13954,,,751
Cluster_9196,,,751
Cluster_12641,,,751
Cluster_14604,,,751
Cluster_16108,,,751
Cluster_8636,,,751
Cluster_17274,,,751
Cluster_15619,,,751
Cluster_17528,,,751
Cluster_16549,,,751
Cluster_5499,,,751
Cluster_7333,,,751
Cluster_20549,,,751
Cluster_20547,,,751
Cluster_17525,,,751
Cluster_10093,,,751
Cluster_21386,,,751
Cluster_10170,,,751
Cluster_7334,,,751
Cluster_18413,,,751
Cluster_19046,,,751
Cluster_14541,,,751
Cluster_7066,,,751
Cluster_13087,,,751
Cluster_20754,,,751
Cluster_19351,,,751
Cluster_15103,,,751
Cluster_8921,,,751
Cluster_11200,,,751
Cluster_19138,,,751
Cluster_19754,,,751
Cluster_5794,,,751
Cluster_6745,,,751
Cluster_12293,,,751
Cluster_11252,,,751
Cluster_10372,,,751
Cluster_20637,,,751
Cluster_12187,,,751
Cluster_14915,,,751
Cluster_20037,,,751
Cluster_17620,,,751
Cluster_15220,,,751
Cluster_22377,,,751
Cluster_12917,,,751
Cluster_10493,,,751
Cluster_17619,,,751
Cluster_10555,,,751
Cluster_13205,,,751
Cluster_12393,,,751
Cluster_21653,,,751
Cluster_10689,,,751
Cluster_7478,,,751
Cluster_17363,,,751
Cluster_21061,,,751
Cluster_16085,,,751
Cluster_4729,,,751
Cluster_20141,,,751
Cluster_6265,,,751
Cluster_14314,,,751
Cluster_21791,,,751
Cluster_15676,,,751
Cluster_21156,,,751
Cluster_17019,,,751
Cluster_18135,,,751
Cluster_16771,,,751
Cluster_6501,,,751
Cluster_12588,,,751
Cluster_13504,,,751
Cluster_16849,,,751
Cluster_11397,,,751
Cluster_8849,,,751
Cluster_13207,,,751
Cluster_6687,,,751
Cluster_10445,,,751
Cluster_15927,,,751
Cluster_10518,,,751
Cluster_22258,,,751
Cluster_16545,,,751
Cluster_2898,,,751
Cluster_11148,,,751
Cluster_15798,,,751
Cluster_20334,,,751
Cluster_10760,,,751
Cluster_15342,,,751
Cluster_9993,,,751
Cluster_18500,,,751
Cluster_16760,,,751
Cluster_11053,,,751
Cluster_11448,,,751
Cluster_6836,,,751
Cluster_10756,,,751
Cluster_14384,,,751
Cluster_10413,,,751
Cluster_9041,,,751
Cluster_6130,,,751
Cluster_14613,,,751
Cluster_14783,,,751
Cluster_22151,,,751
Cluster_4547,,,751
Cluster_20742,,,751
Cluster_22011,,,751
Cluster_18699,,,751
Cluster_13153,,,751
Cluster_22259,,,751
Cluster_8892,,,751
Cluster_14449,,,751
Cluster_7303,,,751
Cluster_12614,,,751
Cluster_19137,,,751
Cluster_10800,,,751
Cluster_13204,,,751
Cluster_13086,,,751
Cluster_21636,,,751
Cluster_22008,,,751
Cluster_16762,,,751
Cluster_13133,,,751
Cluster_9032,,,751
Cluster_21501,,,751
Cluster_10320,,,751
Cluster_20942,,,751
Cluster_15224,,,751
Cluster_21637,,,751
Cluster_9602,,,751
Cluster_4367,,,751
Cluster_12591,,,751
Cluster_16699,,,751
Cluster_13662,,,751
Cluster_16187,,,751
Cluster_14137,,,751
Cluster_8104,,,751
Cluster_15951,,,751
Cluster_20848,,,751
Cluster_8035,,,751
Cluster_14859,,,751
Cluster_9648,,,751
Cluster_22516,,,751
Cluster_20951,,,751
Cluster_1934,,,751
Cluster_20241,,,751
Cluster_21166,,,751
Cluster_14194,,,751
