"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"Cluster_9650","","","140","35","199","378","41.29793510324484","91.52542372881356","7.597989949748744","8.77882330102447e-27","1.929760938031199e-22","7.657781500123806e-25"
"Cluster_12048","","","197","84","142","329","58.11209439528023","79.66101694915254","5.43368544600939","9.312426485136698e-27","2.047057589962749e-22","8.091136719220352e-25"
"Cluster_21066","","","0","92","339","321","0.0","77.72397094430993","0.0","1.0001358494114393e-26","2.198498624176226e-22","8.655506394394591e-25"
"Cluster_10150","","","121","23","218","390","35.693215339233035","94.43099273607749","9.411647387315517","1.4295092232088704e-26","3.142347174457739e-22","1.2322930095912701e-24"
"Cluster_22387","","","232","123","107","290","68.43657817109144","70.2179176755448","5.112073550642048","2.0251137490095394e-26","4.451605043072769e-22","1.7389082199503005e-24"
"Cluster_1012","","","171","61","168","352","50.442477876106196","85.23002421307507","5.873536299765808","2.4920540185841177e-26","5.478033143651608e-22","2.13153040609012e-24"
"Cluster_10587","","","334","301","5","112","98.52507374631269","27.11864406779661","24.855813953488372","2.5114633060214364e-26","5.520698639296321e-22","2.139805674145861e-24"
"Cluster_10516","","","335","305","4","108","98.82005899705014","26.150121065375302","29.65573770491803","2.808537093373835e-26","6.173726238654364e-22","2.3836780844225345e-24"
"Cluster_19051","","","316","254","23","159","93.21533923303835","38.49878934624697","8.600479287915098","2.9568243000920566e-26","6.499691176462359e-22","2.499881221716292e-24"
"Cluster_14665","","","18","147","321","266","5.3097345132743365","64.40677966101694","0.10146862483311081","4.445701656350289e-26","9.772541380989205e-22","3.744268728348355e-24"
"Cluster_20049","","","0","90","339","323","0.0","78.20823244552058","0.0","4.879395434360162e-26","1.0725887043810508e-21","4.0782840470762386e-24"
"Cluster_5560","","","0","90","339","323","0.0","78.20823244552058","0.0","4.879395434360162e-26","1.0725887043810508e-21","4.0782840470762386e-24"
"Cluster_4256","","","201","90","138","323","59.29203539823009","78.20823244552058","5.227294685990338","5.184933972907352e-26","1.1397521859244942e-21","4.317243128501872e-24"
"Cluster_9231","","","280","190","59","223","82.59587020648968","53.99515738498789","5.570026761819804","6.513183445432713e-26","1.431727984975019e-21","5.4027471131132795e-24"
"Cluster_17102","","","169","60","170","353","49.852507374631266","85.4721549636804","5.848725490196078","7.698099508602777e-26","1.6921962339810625e-21","6.3616399773724156e-24"
"Cluster_20761","","","99","12","240","401","29.20353982300885","97.09443099273608","13.784375","1.4419272704287056e-25","3.1696445258563804e-21","1.1871327812196181e-23"
"Cluster_9604","","","16","140","323","273","4.71976401179941","66.10169491525424","0.09659442724458205","1.9170948362807809e-25","4.2141578691124126e-21","1.572446966086721e-23"
"Cluster_13723","","","23","156","316","257","6.784660766961652","62.227602905569015","0.11990830899058748","2.4612290037961807e-25","5.410273596144765e-21","2.0112541249608792e-23"
"Cluster_194","","","118","299","221","114","34.80825958702065","27.602905569007262","0.20357450929947488","3.093014591346168e-25","6.799064674697147e-21","2.5181721017396842e-23"
"Cluster_14021","","","1","92","338","321","0.2949852507374631","77.72397094430993","0.010322871108824285","3.4508772353611417e-25","7.585718338770862e-21","2.799158058587034e-23"
"Cluster_13606","","","16","139","323","274","4.71976401179941","66.34382566585957","0.09764572243134285","3.8337069517054962e-25","8.427254621239022e-21","3.098255375455523e-23"
"Cluster_15537","","","149","46","190","367","43.95280235988201","88.86198547215496","6.256636155606407","6.392387738459914e-25","1.4051746726682582e-20","5.1471599731438026e-23"
"Cluster_7305","","","320","267","19","146","94.3952802359882","35.351089588377725","9.209540705696826","7.1946245743276475e-25","1.5815223739287035e-20","5.771979466893078e-23"
"Cluster_20252","","","171","65","168","348","50.442477876106196","84.26150121065376","5.44945054945055","1.3481186906954281e-24","2.96343450588669e-20","1.0776125475951598e-22"
"Cluster_4150","","","64","0","275","413","18.87905604719764","100.0","inf","1.9603548925103998e-24","4.3092521247163606e-20","1.5613232335928844e-22"
"Cluster_21526","","","120","26","219","387","35.39823008849557","93.7046004842615","8.155953635405691","2.6695998761442234e-24","5.868314447740232e-20","2.1185250713863655e-22"
"Cluster_15751","","","2","94","337","319","0.5899705014749262","77.23970944309927","0.020140160363659322","2.761462982210676e-24","6.070247927495508e-20","2.183542419962413e-22"
"Cluster_11404","","","80","5","259","408","23.59882005899705","98.78934624697337","25.204633204633204","2.8417051283323574e-24","6.246636213100188e-20","2.238937710788598e-22"
"Cluster_21090","","","124","29","215","384","36.57817109144543","92.97820823244552","7.636888532477947","3.413189102540835e-24","7.502872285205263e-20","2.6795972447161654e-22"
"Cluster_16806","","","7","111","332","302","2.0648967551622417","73.12348668280872","0.05736459350917182","3.855269044533431e-24","8.474652413693387e-20","3.015890538680921e-22"
"Cluster_20051","","","63","0","276","413","18.58407079646018","100.0","inf","4.893784496155673e-24","1.07575170794494e-19","3.801242784257739e-22"
"Cluster_15681","","","63","0","276","413","18.58407079646018","100.0","inf","4.893784496155673e-24","1.07575170794494e-19","3.801242784257739e-22"
