accession	message	sample_name	sample_title	bioproject_accession	organism	strain	isolate	host	isolation_source	collection_date	geo_loc_name	sample_type	altitude	biomaterial_provider	collected_by	culture_collection	depth	env_broad_scale	genotype	host_tissue_sampled	identified_by	lab_host	lat_lon	mating_type	passage_history	samp_size	serotype	serovar	specimen_voucher	temp	description
SAMN19016922	Successfully loaded	4381	4381		Escherichia coli	4381			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016923	Successfully loaded	CE627	CE627		Escherichia coli	CE627			Wild Animal	2012	United States	Isolate			Monika Dolejska				ST58												
SAMN19016924	Successfully loaded	1824H	1824H		Escherichia coli	1824H			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016925	Successfully loaded	HP107	HP107		Escherichia coli	HP107			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016926	Successfully loaded	HP89	HP89		Escherichia coli	HP89			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016927	Successfully loaded	HP79	HP79		Escherichia coli	HP79			Wild Animal	2010	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016928	Successfully loaded	CE1605	CE1605		Escherichia coli	CE1605			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016929	Successfully loaded	4365	4365		Escherichia coli	4365			Wild Animal	2012	Canada	Isolate			Monika Dolejska				ST58												
SAMN19016930	Successfully loaded	1541m1	1541m1		Escherichia coli	1541m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016931	Successfully loaded	1586m1	1586m1		Escherichia coli	1586m1			Wild Animal	2012	Australia	Isolate			Monika Dolejska				ST58												
SAMN19016932	Successfully loaded	SH5c	SH5c		Escherichia coli	SH5c			Environment	2016	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016933	Successfully loaded	SH30c	SH30c		Escherichia coli	SH30c			Environment	2016	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016934	Successfully loaded	SH12c	SH12c		Escherichia coli	SH12c			Environment	2016	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016935	Successfully loaded	9162ESCO	9162ESCO		Escherichia coli	9162ESCO			Human	2011	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016936	Successfully loaded	3523	3523		Escherichia coli	3523			Livestock	2013	Czech Republic	Isolate			Monika Dolejska				ST58												
SAMN19016937	Successfully loaded	2009_49	2009_49		Escherichia coli	2009_49			Human	2009	Australia	Isolate			Nola Hitchick				ST58												
SAMN19016938	Successfully loaded	IMT17513	IMT17513		Escherichia coli	IMT17513			Companion Animal	2008	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016939	Successfully loaded	IMT17550	IMT17550		Escherichia coli	IMT17550			Companion Animal	2008	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016940	Successfully loaded	IMT17548	IMT17548		Escherichia coli	IMT17548			Companion Animal	2008	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016941	Successfully loaded	IMT18614	IMT18614		Escherichia coli	IMT18614			Companion Animal	2009	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016942	Successfully loaded	IMT17572	IMT17572		Escherichia coli	IMT17572			Companion Animal	2008	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016943	Successfully loaded	IMT18579	IMT18579		Escherichia coli	IMT18579			Companion Animal	2009	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016944	Successfully loaded	IMT20106	IMT20106		Escherichia coli	IMT20106			Companion Animal	2009	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016945	Successfully loaded	142661	142661		Escherichia coli	142661			Livestock	2015	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016946	Successfully loaded	111396	111396		Escherichia coli	111396			Livestock	2011	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016947	Successfully loaded	142897	142897		Escherichia coli	142897			Livestock	2015	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016948	Successfully loaded	IMT21439	IMT21439		Escherichia coli	IMT21439			Livestock	2010	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016949	Successfully loaded	IMT24109	IMT24109		Escherichia coli	IMT24109			Livestock	2010	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016950	Successfully loaded	IMT24815	IMT24815		Escherichia coli	IMT24815			Livestock	2011	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016951	Successfully loaded	IMT19550	IMT19550		Escherichia coli	IMT19550			Livestock	2009	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016952	Successfully loaded	IMT18276	IMT18276		Escherichia coli	IMT18276			Livestock	2009	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016953	Successfully loaded	103764	103764		Escherichia coli	103764			Livestock	2010	Germany	Isolate			Prof. Stefan Schwarz				ST58												
SAMN19016954	Successfully loaded	Ec4011	Ec4011		Escherichia coli	Ec4011			Wild Animal	2013	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016955	Successfully loaded	CFL3ctx	CFL3ctx		Escherichia coli	CFL3ctx			Livestock	2018	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016956	Successfully loaded	MI-12-654	MI-12-654		Escherichia coli	MI-12-654			Environment	2012	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016957	Successfully loaded	MI-12-604	MI-12-604		Escherichia coli	MI-12-604			Environment	2012	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016958	Successfully loaded	MI-12-427	MI-12-427		Escherichia coli	MI-12-427			Environment	2012	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016959	Successfully loaded	MI-12-184	MI-12-184		Escherichia coli	MI-12-184			Environment	2012	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016960	Successfully loaded	Ec1493	Ec1493		Escherichia coli	Ec1493			Human	2011	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016961	Successfully loaded	Eco1211	Eco1211		Escherichia coli	Eco1211			Human	2011	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016962	Successfully loaded	CN35ctx	CN35ctx		Escherichia coli	CN35ctx			Livestock	2018	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016963	Successfully loaded	AD742	AD742		Escherichia coli	AD742			Livestock	2012	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016964	Successfully loaded	AD741	AD741		Escherichia coli	AD741			Livestock	2012	Sweden	Isolate			Stefan Borjesson				ST58												
SAMN19016965	Successfully loaded	SS_3_G3	SS_3_G3		Escherichia coli	SS_3_G3			Environment	2016	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016966	Successfully loaded	SS_4_G3	SS_4_G3		Escherichia coli	SS_4_G3			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016967	Successfully loaded	SS_5_H8	SS_5_H8		Escherichia coli	SS_5_H8			Environment	2016	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016968	Successfully loaded	SS_5_E10	SS_5_E10		Escherichia coli	SS_5_E10			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016969	Successfully loaded	SS_5_H2	SS_5_H2		Escherichia coli	SS_5_H2			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016970	Successfully loaded	SS_5_E11	SS_5_E11		Escherichia coli	SS_5_E11			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016971	Successfully loaded	SS_2_H5	SS_2_H5		Escherichia coli	SS_2_H5			Environment	2016	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016972	Successfully loaded	SS_4_H10	SS_4_H10		Escherichia coli	SS_4_H10			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016973	Successfully loaded	SS_2_G2	SS_2_G2		Escherichia coli	SS_2_G2			Environment	2016	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016974	Successfully loaded	SS_4_E2	SS_4_E2		Escherichia coli	SS_4_E2			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016975	Successfully loaded	SS_5_B4	SS_5_B4		Escherichia coli	SS_5_B4			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016976	Successfully loaded	SS_4_G5	SS_4_G5		Escherichia coli	SS_4_G5			Environment	2017	Germany	Isolate			Thomas Berendonk				ST58												
SAMN19016977	Successfully loaded	TZ97	TZ97		Escherichia coli	TZ97			Livestock	2017	Australia	Isolate			Toni Chapman				ST58												
SAMN19016978	Successfully loaded	TZ124	TZ124		Escherichia coli	TZ124			Livestock	2017	Australia	Isolate			Toni Chapman				ST58												
